M,F,Fascia di eta,Stato civile,Titolo di studio,Attivita lavorativa,Numero dei componenti nucleo familiare,Siti internet frequentati maggiormente,Canali social frequentati abitualmente,Mezzi di informazione utilizzati in prevalenza,Principali hobby,Genere di film preferito,Sala cinematografica di riferimento,Criterio di scelta della sala cinematografica,Numero medio di film visti al cinema ogni mese,Abitualmente va al cinema,Influiscono sulla scelta dei film,Fonte principale di reperimento informazioni sui film,"Oltre che al cinema, preferisce vedere i film",Numero medio di libri letti in un anno,Numero medio di concerti visti in un anno,Numero medio di mostre viste in un anno,Numero medio di musei visitati in un anno,Numero medio di rappresentazioni teatrali viste in un anno,A quali attivita organizzate e promosse da Moovie Club per i propri iscritti  maggiormente interessato?
0,1,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,pi� di 3,Blog,Facebook,Quotidiani stampa e periodici,Cinema e teatro,Avventura,The Space,Vicinanza a casa,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,0,24 � 30,Celibe - Nubile,Diploma di scuola media superiore,Disoccupato/a,3,Altri,Facebook,"PC, tablet o smartphone",Musica,Fantascienza,UCI,Film programmati,Da 1 a 2,Con il partner,Il passaparola,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,30 � 40,Celibe - Nubile,Laurea,Lavoratore dipendente,pi� di 3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Drammatico,The Space,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Il regista o il cast,Siti internet specializzati,Sui canali televisivi satellitari a pagamento,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
1,0,oltre 50,Coniugato/a  - convivente,Laurea,Altro,2,Altri,Facebook,Quotidiani stampa e periodici,Attivit� sportive,Avventura,UCI,Facilit� di parcheggio,Da 1 a 2,Con gli amici,Il regista o il cast,Quotidiani stampa e periodici,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuno,Pi� di 3,Inviti gratuiti ad anteprime
0,1,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,3,Informazione sportiva,Facebook,Televisione,Attivit� sportive,Avventura,UCI,Vicinanza a casa,Da 1 a 2,Con il partner,Il passaparola,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
1,0,40 � 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Dirigente,2,"Cultura, cinema e spettacolo",Facebook,Televisione,Cinema e teatro,Avventura,The Space,Facilit� di parcheggio,Pi� di 2,Con gli amici,Il regista o il cast,Televisione e radio,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Biglietti cinema con sconti�
0,1,24 � 30,Coniugato/a  - convivente,Laurea,Libero professionista,2,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,Altra,Qualit� di immagine e suono,Pi� di 2,Con il partner,Il regista o il cast,Web,Su PC o tablet attraverso digital download,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Nessuna,Inviti gratuiti ad anteprime
0,1,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Altro,3,Notiziari,YouTube,Quotidiani stampa e periodici,Viaggi,Commedia,UCI,Promozioni e sconti sul biglietto di ingresso,Meno di 1,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Nessuno,Da 1 a 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,,,,,,,,,,,,,,,,,,,,,,,
0,0,oltre 50,Coniugato/a  - convivente,Laurea,Altro,3,Altri,Facebook,"PC, tablet o smartphone",Cinema e teatro,Azione,The Space,Facilit� di parcheggio,Da 1 a 2,Con gli amici,Le recensioni online e offline,Televisione e radio,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,oltre 50,Celibe - Nubile,Diploma di scuola media superiore,Altro,2,"Cultura, cinema e spettacolo",Facebook,Televisione,Altro,Commedia,UCI,Vicinanza a casa,Da 1 a 2,Con gli amici,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,,,,,,,,,,,,,,,,,,,,,,,
1,0,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,pi� di 3,"Cultura, cinema e spettacolo",Facebook,Quotidiani stampa e periodici,Musica,Thriller,The Space,Qualit� di immagine e suono,Pi� di 2,Con il partner,Il regista o il cast,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Biglietti cinema omaggio
0,1,24 � 30,Celibe - Nubile,Laurea,Altro,2,Altri,Facebook,Televisione,Viaggi,Thriller,UCI,Film programmati,Meno di 1,Con il partner,Il passaparola,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Nessuno,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
1,0,oltre 50,Separato/a � divorziato/a non convivente,Licenza media,Altro,1,Notiziari,Instagram,"PC, tablet o smartphone",Cinema e teatro,Commedia,The Space,Vicinanza a casa,Da 1 a 2,Con gli amici,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,,,,,,,,,,,,,,,,,,,,,,,
1,0,40 � 50,Coniugato/a  - convivente,Laurea,Lavoratore dipendente,2,Notiziari,Facebook,"PC, tablet o smartphone",Musica,Horror,UCI,Promozioni e sconti sul biglietto di ingresso,Da 1 a 2,Con il partner,Il regista o il cast,Siti internet specializzati,Su PC o tablet attraverso digital download,Pi� di 3,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Disoccupato/a,2,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Thriller,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Il regista o il cast,Siti internet specializzati,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,40 � 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Dirigente,pi� di 3,"Moda, design e nuove tendenza",Facebook,Quotidiani stampa e periodici,Cinema e teatro,Horror,UCI,Film programmati,Pi� di 2,Con gli amici,Le recensioni online e offline,Web,Su supporti DVD o Blu-ray,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Disoccupato/a,3,Altri,Facebook,Televisione,Altro,Romantico,UCI,Promozioni e sconti sul biglietto di ingresso,Meno di 1,Con partner e figli,Il passaparola,Siti internet specializzati,Su PC o tablet attraverso digital download,Nessuno,Nessuno,Nessuna,Nessuno,Nessuna,Biglietti cinema omaggio
1,0,24 � 30,Celibe - Nubile,Diploma di scuola media superiore,Disoccupato/a,2,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Thriller,The Space,Vicinanza a casa,Pi� di 2,Con gli amici,Il regista o il cast,Web,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Da 1 a 3,Pi� di 3,Pi� di 3,Da 1 a 3,Biglietti cinema omaggio
0,0,40 � 50,Coniugato/a  - convivente,Laurea,Libero professionista,pi� di 3,Notiziari,YouTube,"PC, tablet o smartphone",Cinema e teatro,Azione,The Space,Qualit� di immagine e suono,Da 1 a 2,Con partner e figli,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,oltre 50,Separato/a � divorziato/a non convivente,Diploma di scuola media superiore,Lavoratore dipendente,3,Notiziari,Facebook,Televisione,Cinema e teatro,Drammatico,Altra,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Il regista o il cast,Web,Su supporti DVD o Blu-ray,Pi� di 3,Nessuno,Pi� di 3,Pi� di 3,Pi� di 3,Biglietti cinema con sconti con la formula 2x1
1,0,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Altro,2,"Cultura, cinema e spettacolo",YouTube,Quotidiani stampa e periodici,Cinema e teatro,Drammatico,Altra,Film programmati,Pi� di 2,Con il partner,Le recensioni online e offline,Siti internet specializzati,Su supporti DVD o Blu-ray,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,pi� di 3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,The Space,Vicinanza a casa,Pi� di 2,Con gli amici,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Pi� di 3,Biglietti cinema omaggio
0,0,oltre 50,Celibe - Nubile,Diploma di scuola media superiore,Libero professionista,pi� di 3,Informazione sportiva,YouTube,"PC, tablet o smartphone",Attivit� sportive,Romantico,The Space,Vicinanza a casa,Pi� di 2,Con il partner,Il regista o il cast,Siti internet specializzati,Sui canali televisivi in chiaro,Nessuno,Nessuno,Da 1 a 3,Nessuno,Nessuna,Inviti gratuiti ad anteprime
0,1,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,pi� di 3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,Altra,Film programmati,Meno di 1,Con il partner,Le recensioni online e offline,Siti internet specializzati,Su PC o tablet attraverso digital download,Da 1 a 3,Da 1 a 3,Pi� di 3,Pi� di 3,Da 1 a 3,Organizzazione di incontri con registi e attori
0,0,24 � 30,Celibe - Nubile,Laurea,Studente/ssa,pi� di 3,Blog,Facebook,"PC, tablet o smartphone",Cinema e teatro,Azione,UCI,Qualit� di immagine e suono,Da 1 a 2,Con gli amici,Le recensioni online e offline,Quotidiani stampa e periodici,Su PC o tablet attraverso digital download,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Pi� di 3,Biglietti cinema con sconti�
0,1,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Musica,Commedia,The Space,Qualit� di immagine e suono,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,40 � 50,Celibe - Nubile,Licenza media,Disoccupato/a,1,Altri,Facebook,Televisione,Arte e letteratura,Thriller,The Space,Vicinanza a casa,Meno di 1,Con partner e figli,Il passaparola,Quotidiani stampa e periodici,Sui canali televisivi satellitari a pagamento,Pi� di 3,Nessuno,Nessuna,Nessuno,Da 1 a 3,Biglietti cinema omaggio
0,0,30 � 40,Celibe - Nubile,Laurea,Dirigente,1,"Cultura, cinema e spettacolo",Twitter,"PC, tablet o smartphone",Cinema e teatro,Drammatico,The Space,Qualit� di immagine e suono,Pi� di 2,Con gli amici,Il regista o il cast,Televisione e radio,Sui canali televisivi satellitari a pagamento,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Organizzazione di corsi di scuola di cinema
1,0,24 � 30,Celibe - Nubile,Laurea,Studente/ssa,1,Notiziari,Facebook,"PC, tablet o smartphone",Musica,Azione,The Space,Promozioni e sconti sul biglietto di ingresso,Da 1 a 2,Con gli amici,Le recensioni online e offline,Siti internet specializzati,Su PC o tablet attraverso digital download,Da 1 a 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,24 � 30,Celibe - Nubile,Laurea,Studente/ssa,1,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Viaggi,Fantascienza,UCI,Facilit� di parcheggio,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Nessuno,Nessuna,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,"Cultura, cinema e spettacolo",Instagram,"PC, tablet o smartphone",Viaggi,Azione,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Pi� di 3,Nessuno,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,30 � 40,Coniugato/a  - convivente,Laurea,Libero professionista,2,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Arte e letteratura,Drammatico,The Space,Vicinanza a casa,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
1,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,3,"Cultura, cinema e spettacolo",Instagram,Televisione,Attivit� sportive,Thriller,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con gli amici,Il regista o il cast,Quotidiani stampa e periodici,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Nessuno,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,24 � 30,Celibe - Nubile,Laurea,Lavoratore dipendente,pi� di 3,Notiziari,Facebook,"PC, tablet o smartphone",Attivit� sportive,Azione,The Space,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Nessuno,Da 1 a 3,Nessuna,Nessuno,Nessuna,
0,1,24 � 30,Celibe - Nubile,Diploma di scuola media superiore,Disoccupato/a,3,Notiziari,Facebook,Televisione,Cinema e teatro,Thriller,UCI,Vicinanza a casa,Da 1 a 2,Con il partner,Il regista o il cast,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Nessuna,Nessuno,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,pi� di 3,Notiziari,Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,UCI,Vicinanza a casa,Pi� di 2,Da solo,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Nessuno,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,30 � 40,Celibe - Nubile,Laurea,Lavoratore autonomo,pi� di 3,Informazione sportiva,Facebook,"PC, tablet o smartphone",Attivit� sportive,Azione,The Space,Vicinanza a casa,Da 1 a 2,Con il partner,Il regista o il cast,Siti internet specializzati,Su supporti DVD o Blu-ray,Pi� di 3,Da 1 a 3,Nessuna,Nessuno,Da 1 a 3,Biglietti cinema omaggio
0,1,24 � 30,Celibe - Nubile,Laurea,Studente/ssa,pi� di 3,Altri,Instagram,"PC, tablet o smartphone",Cinema e teatro,Thriller,The Space,Vicinanza a casa,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Nessuna,Da 1 a 3,Nessuna,Inviti ad anteprime di gala con la presenza del cast
1,0,30 � 40,Celibe - Nubile,Laurea,Disoccupato/a,pi� di 3,"Cultura, cinema e spettacolo",Instagram,Quotidiani stampa e periodici,Cinema e teatro,Azione,Altra,Vicinanza a casa,Da 1 a 2,Con il partner,Il regista o il cast,Quotidiani stampa e periodici,Su PC o tablet attraverso digital download,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,40 � 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,2,Blog,Facebook,"PC, tablet o smartphone",Musica,Drammatico,UCI,Vicinanza a casa,Da 1 a 2,Con il partner,Il passaparola,Siti internet specializzati,Sui canali televisivi in chiaro,Da 1 a 3,Pi� di 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
1,0,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,1,Blog,Facebook,Televisione,Musica,Azione,The Space,Vicinanza a casa,Pi� di 2,Con il partner,Il passaparola,Quotidiani stampa e periodici,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Nessuna,Inviti gratuiti ad anteprime
0,1,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Altro,3,"Moda, design e nuove tendenza",Facebook,Televisione,Arte e letteratura,Romantico,The Space,Vicinanza a casa,Da 1 a 2,Con il partner,Il passaparola,Quotidiani stampa e periodici,Sui canali televisivi in chiaro,Pi� di 3,Nessuno,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,24 � 30,Celibe - Nubile,Laurea,Lavoratore autonomo,1,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,UCI,Qualit� di immagine e suono,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,,Celibe - Nubile,Diploma di scuola media superiore,Disoccupato/a,3,Informazione sportiva,Facebook,Televisione,Arte e letteratura,Thriller,UCI,Facilit� di parcheggio,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,40 � 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Libero professionista,pi� di 3,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Cinema e teatro,Avventura,The Space,Vicinanza a casa,Pi� di 2,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,,,,,,,,,,,,,,,,,,,,,,,
0,0,24 � 30,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,1,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,UCI,Vicinanza a casa,Pi� di 2,Con il partner,Il regista o il cast,Web,Su supporti DVD o Blu-ray,Da 1 a 3,Da 1 a 3,Nessuna,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,,Notiziari,Facebook,"PC, tablet o smartphone",Arte e letteratura,Drammatico,Altra,Vicinanza a casa,Meno di 1,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Nessuno,Da 1 a 3,Da 1 a 3,Da 1 a 3,Biglietti cinema omaggio
0,1,40 � 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,3,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,The Space,Vicinanza a casa,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Disoccupato/a,3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Avventura,UCI,Vicinanza a casa,Da 1 a 2,Con partner e figli,Le recensioni online e offline,Siti internet specializzati,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,oltre 50,Celibe - Nubile,Diploma di scuola media superiore,Dirigente,3,Notiziari,Facebook,Radio,Viaggi,Commedia,The Space,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Nessuna,Inviti gratuiti ad anteprime
0,1,40 � 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,1,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Musica,Drammatico,Altra,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con gli amici,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Biglietti cinema omaggio
0,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,24 � 30,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore autonomo,pi� di 3,Blog,Facebook,Televisione,Cinema e teatro,Thriller,UCI,Vicinanza a casa,Da 1 a 2,Con partner e figli,Le recensioni online e offline,Quotidiani stampa e periodici,Sui canali televisivi satellitari a pagamento,Da 1 a 3,Da 1 a 3,Nessuna,Da 1 a 3,Nessuna,Biglietti cinema omaggio
0,1,40 � 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,3,Notiziari,Facebook,Televisione,Cinema e teatro,Thriller,Altra,Vicinanza a casa,Meno di 1,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Nessuno,Nessuno,Nessuna,Nessuno,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,Informazione sportiva,Facebook,"PC, tablet o smartphone",Attivit� sportive,Commedia,UCI,Facilit� di parcheggio,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Da 1 a 3,Nessuno,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,24 � 30,Celibe - Nubile,Laurea,Disoccupato/a,pi� di 3,"Cultura, cinema e spettacolo",Facebook,Televisione,Attivit� sportive,Commedia,UCI,Vicinanza a casa,Pi� di 2,Con il partner,Il regista o il cast,Web,Sui canali televisivi in chiaro,Nessuno,Nessuno,Nessuna,Nessuno,Nessuna,Inviti gratuiti ad anteprime
0,1,40 � 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Dirigente,2,Altri,Facebook,Quotidiani stampa e periodici,Altro,Drammatico,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con il partner,Le recensioni online e offline,Quotidiani stampa e periodici,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,pi� di 3,Notiziari,Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,Altra,Vicinanza a casa,Da 1 a 2,Con gli amici,Il passaparola,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Pi� di 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
